Text;Size;Color;Angle;Font;Repeat;URL
中国;254;Random;Random;Random;Yes;ns
科幻;230;Random;Random;Random;Yes;n
电影;220;Random;Random;Random;Yes;n
地球;134;Random;Random;Random;Yes;n
没有;118;Random;Random;Random;Yes;v
特效;113;Random;Random;Random;Yes;a
流浪地球;103;Random;Random;Random;Yes;n
人类;91;Random;Random;Random;Yes;n
科幻片;89;Random;Random;Random;Yes;n
科幻电影;83;Random;Random;Random;Yes;n
故事;76;Random;Random;Random;Yes;n
国产;74;Random;Random;Random;Yes;n
煽情;74;Random;Random;Random;Yes;v
人物;73;Random;Random;Random;Yes;n
好莱坞;73;Random;Random;Random;Yes;ns
希望;60;Random;Random;Random;Yes;v
原著;59;Random;Random;Random;Yes;n
设定;58;Random;Random;Random;Yes;v
台词;58;Random;Random;Random;Yes;n
问题;57;Random;Random;Random;Yes;n
觉得;53;Random;Random;Random;Yes;v
宇宙;52;Random;Random;Random;Yes;n
看到;51;Random;Random;Random;Yes;v
剧情;49;Random;Random;Random;Yes;n
大片;49;Random;Random;Random;Yes;n
拯救;48;Random;Random;Random;Yes;v
情感;47;Random;Random;Random;Yes;n
太空;46;Random;Random;Random;Yes;n
尴尬;45;Random;Random;Random;Yes;a
刘慈欣;44;Random;Random;Random;Yes;nr
感觉;43;Random;Random;Random;Yes;n
鼓励;42;Random;Random;Random;Yes;v
片子;41;Random;Random;Random;Yes;n
导演;40;Random;Random;Random;Yes;v
有点;38;Random;Random;Random;Yes;n
叙事;37;Random;Random;Random;Yes;v
还有;37;Random;Random;Random;Yes;v
值得;37;Random;Random;Random;Yes;v
个人;36;Random;Random;Random;Yes;n
剪辑;35;Random;Random;Random;Yes;n
完全;35;Random;Random;Random;Yes;ad
观众;35;Random;Random;Random;Yes;n
作为;35;Random;Random;Random;Yes;v
木星;34;Random;Random;Random;Yes;n
元年;34;Random;Random;Random;Yes;t
情节;33;Random;Random;Random;Yes;n
世界;32;Random;Random;Random;Yes;n
影片;31;Random;Random;Random;Yes;n
时候;31;Random;Random;Random;Yes;n
宏大;31;Random;Random;Random;Yes;a
角色;31;Random;Random;Random;Yes;n
演员;31;Random;Random;Random;Yes;n
灾难片;31;Random;Random;Random;Yes;n
作品;30;Random;Random;Random;Yes;n
可能;30;Random;Random;Random;Yes;v
场景;30;Random;Random;Random;Yes;n
知道;30;Random;Random;Random;Yes;v
意义;30;Random;Random;Random;Yes;n
牺牲;30;Random;Random;Random;Yes;v
地方;29;Random;Random;Random;Yes;n
水准;29;Random;Random;Random;Yes;n
三星;29;Random;Random;Random;Yes;nz
工业;29;Random;Random;Random;Yes;n
类型;28;Random;Random;Random;Yes;n
确实;28;Random;Random;Random;Yes;ad
演技;28;Random;Random;Random;Yes;n
细节;28;Random;Random;Random;Yes;n
星际穿越;28;Random;Random;Random;Yes;n
灾难;28;Random;Random;Random;Yes;n
制作;27;Random;Random;Random;Yes;vn
部分;27;Random;Random;Random;Yes;n
小说;27;Random;Random;Random;Yes;n
不能;26;Random;Random;Random;Yes;v
救援;26;Random;Random;Random;Yes;vn
应该;26;Random;Random;Random;Yes;v
场面;25;Random;Random;Random;Yes;n
技术;25;Random;Random;Random;Yes;n
剧本;25;Random;Random;Random;Yes;n
表演;25;Random;Random;Random;Yes;v
开始;25;Random;Random;Random;Yes;v
春节;24;Random;Random;Random;Yes;t
