Text;Size;Color;Angle;Font;Repeat;URL
生硬;14;Random;Random;Random;Yes;a
混乱;12;Random;Random;Random;Yes;a
糟糕;11;Random;Random;Random;Yes;a
不行;11;Random;Random;Random;Yes;v
粗糙;10;Random;Random;Random;Yes;a
强行;9;Random;Random;Random;Yes;v
简单;8;Random;Random;Random;Yes;a
骄傲;7;Random;Random;Random;Yes;a
地下;7;Random;Random;Random;Yes;s
严重;6;Random;Random;Random;Yes;a
讨厌;6;Random;Random;Random;Yes;v
恶心;6;Random;Random;Random;Yes;n
复杂;5;Random;Random;Random;Yes;a
幼稚;5;Random;Random;Random;Yes;a
渺小;5;Random;Random;Random;Yes;a
冒险;5;Random;Random;Random;Yes;n
无聊;5;Random;Random;Random;Yes;a
单薄;5;Random;Random;Random;Yes;a
冗长;4;Random;Random;Random;Yes;n
潦草;4;Random;Random;Random;Yes;a
苍白;4;Random;Random;Random;Yes;z
黑暗;4;Random;Random;Random;Yes;z
模糊;4;Random;Random;Random;Yes;a
疯狂;4;Random;Random;Random;Yes;a
冷酷;4;Random;Random;Random;Yes;a
厉害;4;Random;Random;Random;Yes;a
难看;4;Random;Random;Random;Yes;v
错误;3;Random;Random;Random;Yes;n
茫茫;3;Random;Random;Random;Yes;z
惊人;3;Random;Random;Random;Yes;a
智障;3;Random;Random;Random;Yes;n
一塌糊涂;3;Random;Random;Random;Yes;i
自豪;3;Random;Random;Random;Yes;n
做作;3;Random;Random;Random;Yes;v
薄弱;3;Random;Random;Random;Yes;a
悲观;3;Random;Random;Random;Yes;a
神秘;3;Random;Random;Random;Yes;a
艰难;3;Random;Random;Random;Yes;a
困难;3;Random;Random;Random;Yes;an
刻板;3;Random;Random;Random;Yes;n
粗暴;3;Random;Random;Random;Yes;a
荒凉;3;Random;Random;Random;Yes;a
浅薄;3;Random;Random;Random;Yes;a
麻烦;3;Random;Random;Random;Yes;an
高压;3;Random;Random;Random;Yes;n
没用;3;Random;Random;Random;Yes;v
简陋;3;Random;Random;Random;Yes;a
愚蠢;3;Random;Random;Random;Yes;a
拖沓;3;Random;Random;Random;Yes;a
乱七八糟;3;Random;Random;Random;Yes;i
孤独;3;Random;Random;Random;Yes;a
