Text;Size;Color;Angle;Font;Repeat;URL
尴尬;45;Random;Random;Random;Yes;a
可惜;14;Random;Random;Random;Yes;v
绝望;11;Random;Random;Random;Yes;v
失望;9;Random;Random;Random;Yes;v
讨厌;6;Random;Random;Random;Yes;v
遗憾;6;Random;Random;Random;Yes;a
无所谓;6;Random;Random;Random;Yes;l
无聊;5;Random;Random;Random;Yes;a
无视;5;Random;Random;Random;Yes;v
悲伤;3;Random;Random;Random;Yes;a
反感;3;Random;Random;Random;Yes;v
生怕;3;Random;Random;Random;Yes;v
瞠目结舌;2;Random;Random;Random;Yes;i
心疼;2;Random;Random;Random;Yes;a
悲悯;2;Random;Random;Random;Yes;z
原谅;2;Random;Random;Random;Yes;nr
疑惑;2;Random;Random;Random;Yes;v
恐惧;2;Random;Random;Random;Yes;an
苛责;2;Random;Random;Random;Yes;v
泄气;2;Random;Random;Random;Yes;v
惊悚;2;Random;Random;Random;Yes;a
厌恶;2;Random;Random;Random;Yes;v
鄙视;2;Random;Random;Random;Yes;v
在乎;2;Random;Random;Random;Yes;v
忽视;2;Random;Random;Random;Yes;v
沉重;1;Random;Random;Random;Yes;a
抱歉;1;Random;Random;Random;Yes;v
回头;1;Random;Random;Random;Yes;v
苦涩;1;Random;Random;Random;Yes;a
惊愕;1;Random;Random;Random;Yes;a
抑郁;1;Random;Random;Random;Yes;a
要紧;1;Random;Random;Random;Yes;v
自责;1;Random;Random;Random;Yes;v
愤怒;1;Random;Random;Random;Yes;v
讽刺;1;Random;Random;Random;Yes;v
不寒而栗;1;Random;Random;Random;Yes;i
颓废;1;Random;Random;Random;Yes;a
教训;1;Random;Random;Random;Yes;vn
惊奇;1;Random;Random;Random;Yes;a
叫嚣;1;Random;Random;Random;Yes;v
怀疑;1;Random;Random;Random;Yes;v
惊讶;1;Random;Random;Random;Yes;a
徘徊;1;Random;Random;Random;Yes;v
厌弃;1;Random;Random;Random;Yes;v
不平;1;Random;Random;Random;Yes;n
悲天悯人;1;Random;Random;Random;Yes;i
批斗;1;Random;Random;Random;Yes;vn
辱骂;1;Random;Random;Random;Yes;v
厌烦;1;Random;Random;Random;Yes;v
傻眼;1;Random;Random;Random;Yes;n
歧视;1;Random;Random;Random;Yes;v
没意思;1;Random;Random;Random;Yes;l
惊呆;1;Random;Random;Random;Yes;v
后悔;1;Random;Random;Random;Yes;v
两难;1;Random;Random;Random;Yes;n
冷淡;1;Random;Random;Random;Yes;a
担心;1;Random;Random;Random;Yes;v
恐慌;1;Random;Random;Random;Yes;an
谩骂;1;Random;Random;Random;Yes;v
瞧不起;1;Random;Random;Random;Yes;v
攻击;1;Random;Random;Random;Yes;v
委屈;1;Random;Random;Random;Yes;v
焦虑;1;Random;Random;Random;Yes;a
骂街;1;Random;Random;Random;Yes;n
