Text;Size;Color;Angle;Font;Repeat;URL
完全;35;Random;Random;Random;Yes;ad
宏大;31;Random;Random;Random;Yes;a
可能;30;Random;Random;Random;Yes;v
确实;28;Random;Random;Random;Yes;ad
不错;23;Random;Random;Random;Yes;a
基本;22;Random;Random;Random;Yes;n
实在;21;Random;Random;Random;Yes;v
精神;20;Random;Random;Random;Yes;n
好看;20;Random;Random;Random;Yes;v
标准;18;Random;Random;Random;Yes;n
明显;16;Random;Random;Random;Yes;a
科学;16;Random;Random;Random;Yes;n
文明;15;Random;Random;Random;Yes;nr
合格;14;Random;Random;Random;Yes;n
根本;13;Random;Random;Random;Yes;a
理性;13;Random;Random;Random;Yes;n
容易;13;Random;Random;Random;Yes;a
最好;12;Random;Random;Random;Yes;a
完美;11;Random;Random;Random;Yes;a
重要;11;Random;Random;Random;Yes;a
熟悉;11;Random;Random;Random;Yes;v
基础;11;Random;Random;Random;Yes;n
肯定;11;Random;Random;Random;Yes;v
及格;11;Random;Random;Random;Yes;ad
刻意;10;Random;Random;Random;Yes;v
顶级;9;Random;Random;Random;Yes;n
理智;9;Random;Random;Random;Yes;n
关键;9;Random;Random;Random;Yes;n
完整;9;Random;Random;Random;Yes;a
简单;8;Random;Random;Random;Yes;a
决定;8;Random;Random;Random;Yes;v
认真;8;Random;Random;Random;Yes;ad
成熟;8;Random;Random;Random;Yes;a
客观;7;Random;Random;Random;Yes;n
用心;7;Random;Random;Random;Yes;n
精彩;7;Random;Random;Random;Yes;n
热血;7;Random;Random;Random;Yes;n
核心;6;Random;Random;Random;Yes;n
明白;6;Random;Random;Random;Yes;nr
动人;6;Random;Random;Random;Yes;n
现实;6;Random;Random;Random;Yes;n
清楚;6;Random;Random;Random;Yes;a
悲壮;6;Random;Random;Random;Yes;a
明明;6;Random;Random;Random;Yes;t
瑕不掩瑜;6;Random;Random;Random;Yes;i
一流;5;Random;Random;Random;Yes;n
依旧;5;Random;Random;Random;Yes;z
扎实;5;Random;Random;Random;Yes;a
愚公移山;5;Random;Random;Random;Yes;i
热情;5;Random;Random;Random;Yes;n
清晰;4;Random;Random;Random;Yes;a
勇敢;4;Random;Random;Random;Yes;a
磅礴;4;Random;Random;Random;Yes;v
幽默;4;Random;Random;Random;Yes;a
廉价;4;Random;Random;Random;Yes;n
壮阔;4;Random;Random;Random;Yes;a
中心;4;Random;Random;Random;Yes;n
传统;4;Random;Random;Random;Yes;n
任性;4;Random;Random;Random;Yes;n
优秀;4;Random;Random;Random;Yes;a
正确;4;Random;Random;Random;Yes;ad
重大;4;Random;Random;Random;Yes;a
宏伟;4;Random;Random;Random;Yes;a
实际;4;Random;Random;Random;Yes;n
革命;4;Random;Random;Random;Yes;vn
典型;3;Random;Random;Random;Yes;n
高贵;3;Random;Random;Random;Yes;a
温情;3;Random;Random;Random;Yes;n
出色;3;Random;Random;Random;Yes;v
艺术;3;Random;Random;Random;Yes;n
工整;3;Random;Random;Random;Yes;vn
应有;3;Random;Random;Random;Yes;v
纯粹;3;Random;Random;Random;Yes;a
踏实;3;Random;Random;Random;Yes;a
最高;3;Random;Random;Random;Yes;a
顶尖;3;Random;Random;Random;Yes;n
光洁;3;Random;Random;Random;Yes;a
自由;3;Random;Random;Random;Yes;a
规范;3;Random;Random;Random;Yes;n
强大;3;Random;Random;Random;Yes;a
宽容;3;Random;Random;Random;Yes;a
大量;3;Random;Random;Random;Yes;n
细致;3;Random;Random;Random;Yes;a
真诚;3;Random;Random;Random;Yes;a
得当;3;Random;Random;Random;Yes;v
平衡;3;Random;Random;Random;Yes;a
系统;3;Random;Random;Random;Yes;n
适宜;3;Random;Random;Random;Yes;a
有效;2;Random;Random;Random;Yes;a
高大;2;Random;Random;Random;Yes;a
可贵;2;Random;Random;Random;Yes;a
鲜明;2;Random;Random;Random;Yes;a
明确;2;Random;Random;Random;Yes;ad
显然;2;Random;Random;Random;Yes;ad
红色;2;Random;Random;Random;Yes;n
壮烈;2;Random;Random;Random;Yes;a
耳熟;2;Random;Random;Random;Yes;a
前所未有;2;Random;Random;Random;Yes;i
有趣;2;Random;Random;Random;Yes;a
高明;2;Random;Random;Random;Yes;nr
伟大;2;Random;Random;Random;Yes;a
本质;2;Random;Random;Random;Yes;n
真挚;2;Random;Random;Random;Yes;a
生死;2;Random;Random;Random;Yes;v
过硬;2;Random;Random;Random;Yes;a
幸福;2;Random;Random;Random;Yes;a
事实上;2;Random;Random;Random;Yes;l
紧凑;2;Random;Random;Random;Yes;a
善良;2;Random;Random;Random;Yes;a
感人;2;Random;Random;Random;Yes;n
舒服;2;Random;Random;Random;Yes;a
庄重;2;Random;Random;Random;Yes;a
仔细;2;Random;Random;Random;Yes;ad
显著;2;Random;Random;Random;Yes;a
团结;2;Random;Random;Random;Yes;a
精卫填海;2;Random;Random;Random;Yes;n
天才;2;Random;Random;Random;Yes;n
正面;2;Random;Random;Random;Yes;ad
有意思;2;Random;Random;Random;Yes;l
最佳;2;Random;Random;Random;Yes;z
深沉;2;Random;Random;Random;Yes;a
坚决;2;Random;Random;Random;Yes;ad
温柔;2;Random;Random;Random;Yes;a
像样;2;Random;Random;Random;Yes;v
合适;2;Random;Random;Random;Yes;a
物理;2;Random;Random;Random;Yes;n
珍贵;2;Random;Random;Random;Yes;a
钢铁;2;Random;Random;Random;Yes;n
四平八稳;2;Random;Random;Random;Yes;i
漂亮;2;Random;Random;Random;Yes;a
安全;2;Random;Random;Random;Yes;an
华丽;2;Random;Random;Random;Yes;nr
稳重;2;Random;Random;Random;Yes;a
不言而喻;2;Random;Random;Random;Yes;i
炫目;2;Random;Random;Random;Yes;v
无可厚非;2;Random;Random;Random;Yes;i
细腻;1;Random;Random;Random;Yes;a
安静;1;Random;Random;Random;Yes;nr
精妙;1;Random;Random;Random;Yes;a
至关重要;1;Random;Random;Random;Yes;l
实实在在;1;Random;Random;Random;Yes;z
聪明;1;Random;Random;Random;Yes;a
高效;1;Random;Random;Random;Yes;a
赤诚;1;Random;Random;Random;Yes;nr
淋漓;1;Random;Random;Random;Yes;v
死活;1;Random;Random;Random;Yes;v
娴熟;1;Random;Random;Random;Yes;a
流畅;1;Random;Random;Random;Yes;a
民主;1;Random;Random;Random;Yes;n
突出;1;Random;Random;Random;Yes;v
上乘;1;Random;Random;Random;Yes;v
低廉;1;Random;Random;Random;Yes;a
浅显;1;Random;Random;Random;Yes;a
健康;1;Random;Random;Random;Yes;a
戏剧性;1;Random;Random;Random;Yes;n
似曾相识;1;Random;Random;Random;Yes;i
确定;1;Random;Random;Random;Yes;v
要紧;1;Random;Random;Random;Yes;v
尊敬;1;Random;Random;Random;Yes;v
知名;1;Random;Random;Random;Yes;v
致密;1;Random;Random;Random;Yes;a
明晰;1;Random;Random;Random;Yes;a
强势;1;Random;Random;Random;Yes;n
顶呱呱;1;Random;Random;Random;Yes;z
瑰丽;1;Random;Random;Random;Yes;z
难能可贵;1;Random;Random;Random;Yes;i
庄严;1;Random;Random;Random;Yes;a
壮丽;1;Random;Random;Random;Yes;a
执着;1;Random;Random;Random;Yes;v
公允;1;Random;Random;Random;Yes;nr
恰到好处;1;Random;Random;Random;Yes;i
敞开;1;Random;Random;Random;Yes;v
功德无量;1;Random;Random;Random;Yes;i
弹性;1;Random;Random;Random;Yes;n
属实;1;Random;Random;Random;Yes;v
良好;1;Random;Random;Random;Yes;a
优质;1;Random;Random;Random;Yes;n
变通;1;Random;Random;Random;Yes;vn
考究;1;Random;Random;Random;Yes;vn
前卫;1;Random;Random;Random;Yes;n
健壮;1;Random;Random;Random;Yes;a
精细;1;Random;Random;Random;Yes;a
朴素;1;Random;Random;Random;Yes;nr
流行;1;Random;Random;Random;Yes;v
顺利;1;Random;Random;Random;Yes;ad
清静;1;Random;Random;Random;Yes;a
