Text;Size;Color;Angle;Font;Repeat;URL
希望;60;Random;Random;Random;Yes;v
喜欢;19;Random;Random;Random;Yes;v
需要;16;Random;Random;Random;Yes;v
期待;16;Random;Random;Random;Yes;v
致敬;12;Random;Random;Random;Yes;v
接受;11;Random;Random;Random;Yes;v
肯定;11;Random;Random;Random;Yes;v
惊喜;9;Random;Random;Random;Yes;a
尊重;7;Random;Random;Random;Yes;a
谢谢;5;Random;Random;Random;Yes;nr
满足;5;Random;Random;Random;Yes;v
关怀;5;Random;Random;Random;Yes;nr
好奇;4;Random;Random;Random;Yes;a
敬畏;4;Random;Random;Random;Yes;nr
愿意;4;Random;Random;Random;Yes;v
期望;4;Random;Random;Random;Yes;v
赞美;3;Random;Random;Random;Yes;ns
关注;3;Random;Random;Random;Yes;v
奢望;3;Random;Random;Random;Yes;a
满意;2;Random;Random;Random;Yes;v
表扬;2;Random;Random;Random;Yes;v
迎来;2;Random;Random;Random;Yes;v
妄想;2;Random;Random;Random;Yes;v
心疼;2;Random;Random;Random;Yes;a
说好;2;Random;Random;Random;Yes;v
感兴趣;2;Random;Random;Random;Yes;n
赞同;2;Random;Random;Random;Yes;v
允许;2;Random;Random;Random;Yes;v
支持;2;Random;Random;Random;Yes;v
认可;2;Random;Random;Random;Yes;v
迎接;2;Random;Random;Random;Yes;v
舒服;2;Random;Random;Random;Yes;a
关心;2;Random;Random;Random;Yes;n
开心;2;Random;Random;Random;Yes;v
怀念;2;Random;Random;Random;Yes;v
指望;2;Random;Random;Random;Yes;v
感谢;2;Random;Random;Random;Yes;v
提倡;2;Random;Random;Random;Yes;v
在乎;2;Random;Random;Random;Yes;v
歌颂;2;Random;Random;Random;Yes;v
眷恋;2;Random;Random;Random;Yes;v
聚焦;2;Random;Random;Random;Yes;v
渴望;2;Random;Random;Random;Yes;v
顾及;1;Random;Random;Random;Yes;v
倾向;1;Random;Random;Random;Yes;v
看重;1;Random;Random;Random;Yes;v
跃跃欲试;1;Random;Random;Random;Yes;i
期盼;1;Random;Random;Random;Yes;v
庆幸;1;Random;Random;Random;Yes;v
尊敬;1;Random;Random;Random;Yes;v
跪拜;1;Random;Random;Random;Yes;v
企盼;1;Random;Random;Random;Yes;v
许可;1;Random;Random;Random;Yes;nr
兼顾;1;Random;Random;Random;Yes;v
注意;1;Random;Random;Random;Yes;v
考究;1;Random;Random;Random;Yes;vn
感同身受;1;Random;Random;Random;Yes;l
夸赞;1;Random;Random;Random;Yes;nrt
羡慕;1;Random;Random;Random;Yes;v
欣赏;1;Random;Random;Random;Yes;v
不愧;1;Random;Random;Random;Yes;a
集中;1;Random;Random;Random;Yes;v
溺爱;1;Random;Random;Random;Yes;v
扬眉吐气;1;Random;Random;Random;Yes;i
怜爱;1;Random;Random;Random;Yes;v
讴歌;1;Random;Random;Random;Yes;v
美滋滋;1;Random;Random;Random;Yes;z
鸣谢;1;Random;Random;Random;Yes;v
着想;1;Random;Random;Random;Yes;v
情愿;1;Random;Random;Random;Yes;n
祝福;1;Random;Random;Random;Yes;nr
引领;1;Random;Random;Random;Yes;v
珍视;1;Random;Random;Random;Yes;v
留意;1;Random;Random;Random;Yes;v
欢乐;1;Random;Random;Random;Yes;a
有意;1;Random;Random;Random;Yes;v
着眼于;1;Random;Random;Random;Yes;v
注重;1;Random;Random;Random;Yes;v
迷恋;1;Random;Random;Random;Yes;v
默认;1;Random;Random;Random;Yes;v
陶醉;1;Random;Random;Random;Yes;nr
有心;1;Random;Random;Random;Yes;a
欣慰;1;Random;Random;Random;Yes;v
理直气壮;1;Random;Random;Random;Yes;i
狂想;1;Random;Random;Random;Yes;n
盛赞;1;Random;Random;Random;Yes;nr
