Text;Size;Color;Angle;Font;Repeat;URL
中国;84;Random;Random;Random;Yes;ns
科幻;68;Random;Random;Random;Yes;n
电影;65;Random;Random;Random;Yes;n
科幻电影;29;Random;Random;Random;Yes;n
流浪地球;26;Random;Random;Random;Yes;n
没有;24;Random;Random;Random;Yes;v
希望;23;Random;Random;Random;Yes;v
特效;19;Random;Random;Random;Yes;a
原著;19;Random;Random;Random;Yes;n
国产;18;Random;Random;Random;Yes;n
刘慈欣;18;Random;Random;Random;Yes;nr
看到;18;Random;Random;Random;Yes;v
地球;17;Random;Random;Random;Yes;n
觉得;16;Random;Random;Random;Yes;v
意义;16;Random;Random;Random;Yes;n
大片;16;Random;Random;Random;Yes;n
好莱坞;16;Random;Random;Random;Yes;ns
人类;16;Random;Random;Random;Yes;n
科幻片;15;Random;Random;Random;Yes;n
五星;14;Random;Random;Random;Yes;nz
煽情;14;Random;Random;Random;Yes;v
片子;14;Random;Random;Random;Yes;n
问题;13;Random;Random;Random;Yes;n
设定;12;Random;Random;Random;Yes;v
不能;12;Random;Random;Random;Yes;v
鼓励;11;Random;Random;Random;Yes;v
太空;11;Random;Random;Random;Yes;n
时候;11;Random;Random;Random;Yes;n
水准;10;Random;Random;Random;Yes;n
好看;10;Random;Random;Random;Yes;v
剧情;10;Random;Random;Random;Yes;n
完全;10;Random;Random;Random;Yes;ad
作为;9;Random;Random;Random;Yes;v
国内;9;Random;Random;Random;Yes;s
元年;9;Random;Random;Random;Yes;t
宇宙;8;Random;Random;Random;Yes;n
类型;8;Random;Random;Random;Yes;n
华语;8;Random;Random;Random;Yes;nz
应该;8;Random;Random;Random;Yes;v
可能;8;Random;Random;Random;Yes;v
还有;8;Random;Random;Random;Yes;v
人物;8;Random;Random;Random;Yes;n
制作;8;Random;Random;Random;Yes;vn
有点;8;Random;Random;Random;Yes;n
知道;8;Random;Random;Random;Yes;v
个人;8;Random;Random;Random;Yes;n
值得;7;Random;Random;Random;Yes;v
剧本;7;Random;Random;Random;Yes;n
感动;7;Random;Random;Random;Yes;v
故事;7;Random;Random;Random;Yes;n
宏大;7;Random;Random;Random;Yes;a
部分;7;Random;Random;Random;Yes;n
喜欢;7;Random;Random;Random;Yes;v
未来;7;Random;Random;Random;Yes;t
牺牲;7;Random;Random;Random;Yes;v
世界;7;Random;Random;Random;Yes;n
救援;7;Random;Random;Random;Yes;vn
台词;7;Random;Random;Random;Yes;n
导演;7;Random;Random;Random;Yes;v
评价;6;Random;Random;Random;Yes;n
历史;6;Random;Random;Random;Yes;n
国产电影;6;Random;Random;Random;Yes;n
星际穿越;6;Random;Random;Random;Yes;n
场面;6;Random;Random;Random;Yes;n
完美;6;Random;Random;Random;Yes;a
团队;6;Random;Random;Random;Yes;n
节奏;6;Random;Random;Random;Yes;n
处理;6;Random;Random;Random;Yes;v
相比;6;Random;Random;Random;Yes;v
标准;6;Random;Random;Random;Yes;n
观众;6;Random;Random;Random;Yes;n
细节;6;Random;Random;Random;Yes;n
豆瓣;6;Random;Random;Random;Yes;n
开始;6;Random;Random;Random;Yes;v
灾难片;6;Random;Random;Random;Yes;n
小说;6;Random;Random;Random;Yes;n
确实;6;Random;Random;Random;Yes;ad
套路;6;Random;Random;Random;Yes;n
漫游;5;Random;Random;Random;Yes;vn
东西;5;Random;Random;Random;Yes;ns
发展;5;Random;Random;Random;Yes;vn
电影工业;5;Random;Random;Random;Yes;n
精神;5;Random;Random;Random;Yes;n
内核;5;Random;Random;Random;Yes;n
出来;5;Random;Random;Random;Yes;v
文化;5;Random;Random;Random;Yes;n
镜头;5;Random;Random;Random;Yes;n
整体;5;Random;Random;Random;Yes;n
想象;5;Random;Random;Random;Yes;n
情怀;5;Random;Random;Random;Yes;n
